Player,Squad,Pos,Age,Min,Gls,Ast,xG,xAG,Tkl,Int,Clr,Cmp%,PrgP,PrgC,PrgR_stats_possession,SoT,Sh,KP,Touches,attack_score,defend_score,passing_score,movement_score,role,cluster
Seko Fofana,Rennes,MF,29.0,844,1,1,1.8,1.2,11,7,7,90.4,72,32,38,6,24,13,640,71.6,46.5,179.14,188.0,MF,3
Wesley Fofana,Chelsea,DF,23.0,1172,0,0,0.4,0.4,13,14,55,90.2,32,19,4,0,3,6,933,22.8,136.5,83.22,129.8,DF,3
Yahia Fofana,Angers,GK,23.0,2970,0,0,0.0,0.1,0,1,25,68.7,0,0,0,0,0,1,1110,0.0,39.5,8.670000000000002,111.0,GK,0
Youssouf Fofana,Milan,MF,25.0,2504,1,6,1.3,3.4,56,19,24,85.7,176,44,32,5,36,23,1655,93.1,186.0,423.27,295.5,MF,5
Jonas Föhrenbach,Heidenheim,DF,28.0,1832,0,1,0.3,1.3,45,16,57,72.5,59,36,50,1,8,14,1112,46.1,207.5,153.15,265.2,DF,3
Michael Folorunsho,Fiorentina,"FW,MF",26.0,650,0,0,1.1,0.6,19,4,10,70.6,21,13,33,3,9,3,342,28.7,61.0,55.36,119.7,MF,0
Lamine Fomba,Saint-Étienne,MF,26.0,217,0,0,0.0,0.3,8,4,5,83.4,18,5,5,0,1,1,183,6.0,31.5,46.74,35.8,MF,0
Carlos Forbs,Wolves,"MF,FW",20.0,239,0,0,0.1,0.0,8,1,2,65.9,8,10,28,0,2,1,121,12.2,21.0,24.09,83.1,MF,0
Pablo Fornals,Betis,"MF,FW",28.0,1827,2,0,1.8,3.3,21,23,15,80.0,146,32,85,4,23,36,1272,70.6,110.5,363.9,345.2,MF,5
Omari Forson,Monza,"MF,FW",20.0,223,0,0,0.2,0.5,3,1,1,81.4,10,14,18,1,5,8,140,20.9,9.5,41.64,71.0,MF,0
Fraser Forster,Tottenham,GK,36.0,630,0,0,0.0,0.0,0,0,7,84.8,0,0,0,0,0,0,228,0.0,10.5,8.48,22.8,GK,0
Héctor Fort,Barcelona,DF,17.0,585,0,0,0.2,0.9,13,6,16,90.1,26,14,33,0,6,10,573,20.4,62.0,78.71000000000001,144.3,DF,0
